Customer ID,Customer Name,Email,Phone Number,Address Line 1,City,Country,Postcode,Loyalty Card
948689-54779-PX,Jennifer Prince,norrisjason@yahoo.com,170-246-977,402 Ware Island,Bellfurt,United Kingdom,90807,No
261989-89133-ST,Catherine Kent,cristinawolfe@lee.info,698-740-133,90862 Vance Haven,Boothport,United States,77868,No
685463-89567-IC,Rebecca Rice,thale@gmail.com,745-524-226,5275 Matthew Expressway Suite 324,South Jonathanton,United States,49017,No
664968-31924-NC,Todd White,tracycampbell@gmail.com,858-754-509,690 Mitchell Pine Suite 141,Port Michellestad,United States,60589,Yes
421827-72449-BY,Alexander Burnett,tranlinda@gmail.com,760-272-133,9844 Ruiz Knoll Suite 732,North Tony,United Kingdom,96425,Yes
563415-51776-IQ,Bruce Holt,gary77@hotmail.com,887-181-870,49203 Lori Inlet Suite 657,Lake Pamelaberg,United Kingdom,16146,Yes
843472-26283-DT,Shannon Green,misty74@lambert.com,432-126-376,64541 William Brooks Suite 831,East Jacob,United Kingdom,19971,No
595168-33250-UA,Yesenia Martinez,sdavis@chandler.com,238-804-110,99170 Bradley Roads Apt. 290,North Andrewfurt,Ireland,66512,Yes
617809-77530-ZN,David Ellis,aaron58@wang.org,318-505-858,629 Allen Lights Apt. 937,Jimenezburgh,United States,23371,No
282537-91322-OB,Todd Taylor,mitchelldanielle@reed.org,540-679-668,2450 Johnson Lights,Port Brendan,United States,18225,Yes
315369-85725-EO,Brett Ramos,montgomerykatie@mcknight.com,270-107-456,683 Rivers Curve Suite 705,Lake Patrick,Ireland,85917,No
191370-84217-QJ,Crystal Hill,karen90@gmail.com,340-617-309,8908 Crawford Mountain,South Troyview,United Kingdom,29073,Yes
265791-80125-NC,Laura Ibarra,thomas38@ruiz.com,116-965-515,6694 Foster Points Apt. 005,West Kristen,Ireland,28664,Yes
785194-42400-CU,Kevin David,rothjennifer@vazquez.org,854-125-360,74275 Carroll Dale,Jamesland,United Kingdom,25548,Yes
561003-62175-BY,Michael Zamora,tuckerteresa@mclaughlin-hardin.info,411-486-987,88220 Campbell Park Suite 252,Lake Aliciabury,United States,50762,No
948478-38935-PX,Allen Page,yorkkaitlin@gmail.com,280-396-980,3116 Steven Fall Suite 271,South Robert,Ireland,98904,No
658536-48459-RG,Nicole Davis,vhicks@yahoo.com,378-858-830,41733 Natalie Unions,Catherinefort,United Kingdom,41593,Yes
713017-41051-HI,Tiffany Wagner,crystal91@martinez-wilcox.com,646-669-624,3941 Nicholas Point Suite 195,Webbchester,United States,48032,Yes
611794-32826-RB,Donald Rodgers,morriszachary@gmail.com,941-937-987,737 Garcia Parks,Chandlerfurt,United Kingdom,63200,Yes
344307-16255-CB,Mark Pitts,nathaniel47@clark.info,689-152-784,025 Keith Run,East Darrell,United Kingdom,30599,Yes
563127-76950-CU,Nicole Howe,henryrebecca@hotmail.com,508-618-731,251 Ramirez Parkway,New Jacqueline,United States,85746,No
853816-80065-RB,Gwendolyn Evans,bradleyjoseph@lyons.com,650-976-551,2577 Dudley Run Suite 694,Maddenland,United Kingdom,84655,Yes
512148-28868-EO,Robert Barron,romeromelissa@torres.com,125-463-473,2218 Hutchinson Well Suite 890,Richardsport,United States,69658,No
362696-48248-OB,Walter Soto,fcastaneda@anderson.org,445-894-243,73360 Miller Way Suite 267,Lake Ericborough,United Kingdom,68104,Yes
994598-79138-NC,Daniel Terry,emosley@rodriguez.net,496-511-629,579 Brenda Glen,Samanthaburgh,Ireland,77534,No
665650-52900-UZ,Daniel Chandler,vasquezjames@chambers-brown.com,216-901-432,54763 Steven Row,Longhaven,United Kingdom,96254,No
845069-32350-UZ,Kendra Bishop,award@gmail.com,698-231-106,9354 Michael Camp Apt. 157,Lake Heatherborough,United Kingdom,21995,No
860376-64332-HI,Alicia Sandoval,colemandavid@hotmail.com,933-508-598,259 Smith Shores,Stephensmouth,United Kingdom,04893,Yes
373075-65351-DT,Ricardo Murray,omendez@ryan-mendez.com,374-689-418,2686 Perez Village,New Jon,United Kingdom,71369,No
697279-56450-ZC,Melissa Davidson,myerssherri@yahoo.com,802-849-435,89309 William Forge,West Lisa,Ireland,15058,No
366817-11276-QJ,Kathryn Powell,castillonatasha@watkins-evans.com,671-697-558,3401 Valencia Plaza,Michaelchester,United States,48945,No
115145-55023-BB,Justin Flores,christian01@garcia.org,970-875-952,60050 Walton Circle Suite 626,Jasonstad,Ireland,86606,Yes
451742-18049-RG,Richard Yates,qroberts@johnson.com,509-469-896,7353 Vaughn Circles,Yvonnemouth,United Kingdom,58425,Yes
677723-99459-DT,Joan Guzman,susanhanna@gmail.com,301-980-150,96857 Peterson Ridge,Reyesbury,Ireland,84871,No
570670-91018-QU,Christy Patterson,tdavis@snyder.org,273-742-451,784 Chambers Lane,South Marisaport,United Kingdom,87669,Yes
988944-42026-QO,Michael Wright,yjones@lopez.com,120-259-183,60745 Mark Meadows,West Tracy,Ireland,59961,Yes
728807-81642-ZC,Keith Drake,xcox@gmail.com,168-221-103,14178 Vincent Terrace Apt. 042,West Danielville,Ireland,71003,Yes
381256-89124-QJ,Lori Ross PhD,ryanmiller@hotmail.com,549-311-136,6430 Estes Wells,Port Daniel,Ireland,25734,Yes
632838-17869-BB,Stacey Dunlap,staceygonzalez@edwards.net,570-729-120,659 Brian Point Apt. 172,Jasonfurt,Ireland,35925,Yes
556059-64849-RG,Linda Douglas,johnsonnicole@harris.biz,673-812-816,98094 Sue Islands Apt. 275,Daniellestad,United Kingdom,39250,Yes
944051-38009-RG,Michael Thompson,churchjorge@yahoo.com,680-775-658,8554 Harris Walks,North Davidberg,United Kingdom,80974,No
823092-22049-CB,Mrs. Rachel Callahan MD,xdavis@carter-gregory.com,470-430-471,770 Riley Knoll,East Alexisview,Ireland,91446,Yes
903022-62185-CB,Brian Hamilton,bmiller@hotmail.com,792-721-510,2175 Jorge Walks Apt. 457,Jamesmouth,Ireland,79983,No
769901-32146-FR,Katherine Douglas,ricardo25@moore.net,896-994-522,62161 Daniels Parkway Suite 691,West Jonathanside,United Kingdom,16461,No
562948-80090-IQ,Renee Hodge,pbradley@coleman-johnson.com,802-128-653,69738 Hart Landing,Port Rhonda,Ireland,71911,No
315708-38523-ZC,Eric Bright,jamesdouglas@yahoo.com,103-542-500,678 Brittany Field Apt. 046,South Janet,Ireland,35023,Yes
199392-46455-BQ,Ariel Briggs,bstevenson@scott-harrison.com,254-373-241,419 Sanchez Tunnel,Taramouth,United Kingdom,19083,No
517884-98036-DT,Kelly Dickson,reidheather@yahoo.com,786-112-949,400 Carter Falls,New Benjaminfurt,Ireland,42107,No
682818-46461-OU,Theresa Stuart,deanjoshua@warren.com,202-838-113,69537 Kimberly Lights,South Jimmy,United Kingdom,59360,No
660635-73570-FR,Janet Thompson,lee19@gmail.com,133-136-941,44514 Jeff Expressway,Reedland,United Kingdom,77034,No
780638-15405-RG,Elizabeth Day,lauren79@yahoo.com,307-515-724,1451 Shelton Estate Suite 422,South Jason,Ireland,31437,No
134029-38372-QJ,Tammy Hernandez,morrowjeremiah@brown.com,617-536-150,0577 Campbell Branch Suite 042,South Kristina,United Kingdom,47210,No
526003-95490-UZ,Sandra Smith,walkerkevin@gmail.com,836-287-982,090 Julian Station Suite 899,East Linda,United States,02121,Yes
578508-61894-ZN,Frank Delgado,chambersricardo@yahoo.com,820-655-578,1821 Tanya Shoal,West Derekshire,United States,60929,No
255031-54930-QJ,Elizabeth Sanchez,pholloway@arias.biz,949-933-778,13820 Mcdaniel Path,Delgadoland,Ireland,76713,No
732779-91826-ZC,Jacqueline Randall,anthonycook@parker-mack.com,361-966-913,9186 Mckenzie Village,North Douglasfurt,Ireland,07881,Yes
457948-72489-PE,Emily Ellis,william89@holmes.com,423-788-908,593 Lane Via Suite 050,Port Robertborough,United Kingdom,51244,No
