Order ID,Order Date,Customer ID,Product ID,Quantity,Customer Name,Email,Country,Coffee Type,Roast Type,Size,Unit Price,Sales
64D4EA94,31/07/2023,229359-25328-RB,D-E-2.5,6,Customer189,customer189@example.com,IT,Robusta,Light,Large,11.7,70.19999999999999
0D8741D8,21/03/2021,833302-97342-UA,D-M-2.5,6,Customer968,customer968@example.com,US,Blend,Dark,Large,12.76,76.56
C676FCE1,19/04/2022,344686-31248-FR,E-M-0.5,4,Customer963,customer963@example.com,ES,Robusta,Medium,Small,13.09,52.36
76CA6742,05/11/2022,706733-30118-QU,M-A-1,2,Customer482,customer482@example.com,FR,Arabica,Light,Large,15.45,30.9
B61D5274,24/08/2023,333131-46988-RG,L-A-2.5,3,Customer331,customer331@example.com,UK,Blend,Light,Medium,6.32,18.96
3D406FD0,29/12/2019,815079-67786-IQ,E-L-1,1,Customer598,customer598@example.com,IT,Arabica,Light,Medium,13.73,13.73
80A3C091,30/12/2022,884343-85476-BB,L-E-1,4,Customer405,customer405@example.com,FR,Robusta,Medium,Medium,8.57,34.28
6BCE3243,22/08/2022,183314-71278-QO,L-E-0.5,5,Customer644,customer644@example.com,ES,Robusta,Light,Small,11.39,56.95
1CCA461F,01/03/2020,386022-34641-OB,M-L-0.5,4,Customer755,customer755@example.com,FR,Robusta,Medium,Small,12.64,50.56
4A1E158F,15/10/2023,242567-41847-HW,R-M-2.5,1,Customer114,customer114@example.com,ES,Arabica,Dark,Large,13.42,13.42
2B1DE39E,16/02/2023,102294-63388-HW,M-E-1,4,Customer849,customer849@example.com,FR,Robusta,Dark,Medium,17.78,71.12
B5F97925,20/12/2020,866065-45622-PE,A-R-1,6,Customer360,customer360@example.com,FR,Blend,Light,Small,11.96,71.76
4286A425,21/02/2020,188995-26144-UZ,A-R-0.5,5,Customer553,customer553@example.com,UK,Blend,Medium,Medium,12.64,63.2
D38AADAE,28/05/2021,127964-76239-DT,M-A-1,4,Customer783,customer783@example.com,PL,Blend,Light,Large,17.05,68.2
D3E889EF,12/04/2020,606452-50706-DT,R-A-2.5,6,Customer482,customer482@example.com,UK,Blend,Light,Small,13.35,80.1
7176EA01,06/10/2020,994598-79138-NC,E-E-2.5,4,Customer906,customer906@example.com,US,Robusta,Dark,Small,14.96,59.84
2EE271F7,06/02/2022,309051-27874-RG,R-D-1,3,Customer304,customer304@example.com,US,Robusta,Light,Medium,14.55,43.650000000000006
380E1C09,05/05/2021,172651-34792-PE,A-D-0.5,2,Customer974,customer974@example.com,IT,Robusta,Dark,Medium,12.8,25.6
03FEDDEA,09/07/2019,164306-40463-ZC,A-R-2.5,1,Customer790,customer790@example.com,US,Blend,Medium,Medium,18.32,18.32
720DE1A1,17/05/2019,471824-50753-BY,L-E-2.5,6,Customer943,customer943@example.com,DE,Blend,Medium,Small,15.95,95.69999999999999
4D2FDB8A,28/01/2019,761683-70302-ZC,L-A-1,5,Customer554,customer554@example.com,DE,Robusta,Medium,Medium,10.31,51.550000000000004
69F28012,17/07/2021,174326-42759-FR,R-L-0.5,6,Customer757,customer757@example.com,ES,Robusta,Medium,Medium,18.38,110.28
B8351BDF,19/09/2023,327106-83146-UV,M-L-2.5,6,Customer762,customer762@example.com,ES,Blend,Dark,Large,11.99,71.94
1E7B5080,15/01/2022,670993-31115-QU,M-E-2.5,5,Customer674,customer674@example.com,PL,Arabica,Medium,Small,5.04,25.2
ECE21AC6,06/11/2022,407864-78629-PX,A-E-2.5,6,Customer785,customer785@example.com,ES,Blend,Light,Medium,13.9,83.4
523FE088,09/01/2022,182849-51031-BY,M-E-0.5,6,Customer276,customer276@example.com,PL,Robusta,Light,Small,15.26,91.56
B63C2B33,21/03/2022,188777-92988-QJ,M-D-1,1,Customer702,customer702@example.com,DE,Robusta,Light,Small,8.56,8.56
FE3A9547,16/01/2021,125273-66235-HW,L-R-1,5,Customer230,customer230@example.com,IT,Blend,Medium,Large,16.3,81.5
F8D4D659,12/07/2019,565959-22582-QU,A-L-1,4,Customer441,customer441@example.com,FR,Blend,Medium,Large,15.1,60.4
5B69F332,01/08/2023,351623-66625-CU,R-A-2.5,3,Customer70,customer70@example.com,US,Robusta,Light,Small,17.6,52.800000000000004
3C6FFDD2,07/04/2019,631400-18025-NC,A-R-0.5,1,Customer552,customer552@example.com,DE,Blend,Light,Large,12.69,12.69
3F2D474F,18/01/2019,443573-14228-OB,D-R-1,5,Customer441,customer441@example.com,PL,Robusta,Dark,Medium,13.02,65.1
